country,location_name,year,month,temperature_celsius,wind_mps,pressure_pa,precip_mm,humidity,cloud,uv_index,air_quality_PM2.5,air_quality_PM10
Afghanistan,Kabul,2024,5,20.305882352941175,3.1993464052287583,101000.0,0.10882352941176471,38.05882352941177,31.764705882352942,3.764705882352941,7.894117647058823,17.41176470588235
Afghanistan,Kabul,2024,6,25.59,4.752777777777778,100490.0,0.07266666666666667,24.833333333333332,20.833333333333332,6.5,7.38,16.78666666666667
Afghanistan,Kabul,2024,7,31.303448275862067,5.758620689655173,99800.0,0.0003448275862068966,17.93103448275862,13.068965517241379,7.758620689655173,9.06551724137931,23.596551724137928
Afghanistan,Kabul,2024,8,30.848387096774193,5.610215053763442,100125.80645161291,0.037096774193548385,20.548387096774192,11.903225806451612,7.483870967741935,9.638709677419355,22.674193548387095
Afghanistan,Kabul,2024,9,28.216666666666665,3.3953703703703706,100480.0,0.014333333333333335,13.733333333333333,13.066666666666666,7.0,20.99683333333333,42.791666666666664
Afghanistan,Kabul,2024,10,21.98709677419355,1.7948028673835124,101183.87096774194,0.10161290322580645,21.70967741935484,13.258064516129032,4.183870967741935,26.031290322580645,50.875
Afghanistan,Kabul,2024,11,15.67,1.2907407407407407,101590.0,0.002,27.466666666666665,19.666666666666668,2.76,19.048833333333334,29.760333333333335
Afghanistan,Kabul,2024,12,7.174193548387097,1.1765232974910393,101832.25806451614,0.0003225806451612903,22.387096774193548,14.64516129032258,0.6322580645161291,15.396774193548387,20.720000000000002
Afghanistan,Kabul,2025,1,1.3129032258064517,1.9336917562724014,102280.64516129032,0.07451612903225807,58.87096774193548,36.096774193548384,0.8548387096774194,28.251290322580644,33.96241935483871
Afghanistan,Kabul,2025,2,4.789285714285714,1.9831349206349207,101932.14285714286,0.05071428571428571,47.857142857142854,29.25,1.6500000000000001,22.21982142857143,41.03035714285714
Afghanistan,Kabul,2025,3,11.993548387096775,1.7562724014336917,101525.80645161291,0.06387096774193549,33.03225806451613,18.903225806451612,3.5580645161290323,14.817903225806452,34.03403225806452
