country,location_name,year,month,temperature_celsius,humidity,air_quality_PM2.5,air_quality_PM10
Afghanistan,Kabul,2024,5,0.6342516753536858,0.3679471788715486,0.0047871395121100654,0.23658309044338452
Afghanistan,Kabul,2024,6,0.7011392405063291,0.23299319727891155,0.004468589754710856,0.23650381800719636
Afghanistan,Kabul,2024,7,0.7734613705805325,0.16256157635467977,0.005512944313254406,0.23736742042601777
Afghanistan,Kabul,2024,8,0.7677011024908126,0.18926925608953254,0.005868097092950232,0.2372504506468107
Afghanistan,Kabul,2024,9,0.7343881856540084,0.11972789115646258,0.01290564493010445,0.23980166822227628
Afghanistan,Kabul,2024,10,0.655532870559412,0.20111915734035546,0.016025018602134813,0.24082676426426425
Afghanistan,Kabul,2024,11,0.5755696202531645,0.2598639455782313,0.011698654796691143,0.23814908658658657
Afghanistan,Kabul,2024,12,0.4680277664352797,0.20803159973666882,0.009435821455642732,0.2370026276276276
Afghanistan,Kabul,2025,1,0.3938342180481829,0.5803159973666886,0.017400541238776258,0.23868197834931704
Afghanistan,Kabul,2025,2,0.4378390596745027,0.46793002915451887,0.013663414213592287,0.23957830598455596
Afghanistan,Kabul,2025,3,0.529032258064516,0.31665569453587883,0.00907715023049698,0.2386910600116245
Afghanistan,Kabul,2025,4,0.6681856540084389,0.16734693877551018,0.011435012958001534,0.24105824574574572
Afghanistan,Kabul,2025,5,0.7223764801959983,0.15799868334430545,0.014838075681807115,0.24287921994575218
Afghanistan,Kabul,2025,6,0.7697890295358649,0.11224489795918367,0.019760745805895166,0.24761167417417415
Afghanistan,Kabul,2025,7,0.7934258881175991,0.09940750493745884,0.018879597837315444,0.2478718637992831
Afghanistan,Kabul,2025,8,0.763046141282156,0.13627386438446346,0.018764970950928658,0.24622505570086214
Afghanistan,Kabul,2025,9,0.7168776371308017,0.15578231292517006,0.015665054868069617,0.24031829549143735
Afghanistan,Kabul,2025,10,0.6337280522662312,0.1658986175115207,0.010712007453166071,0.23697125089343918
Afghanistan,Kabul,2025,11,0.5534599156118143,0.060204081632653055,0.00929531107878151,0.2364847956064172
Afghanistan,Kabul,2025,12,0.48632094732543896,0.3238973008558262,0.009384853964747126,0.2369925232556008
Afghanistan,Kabul,2026,1,0.400337552742616,0.45986394557823124,0.00982817119928225,0.2372951498796093
Afghanistan,Kabul,2026,2,0.39789029535864984,0.6275510204081632,0.007403451116073457,0.23753060492925357
Albania,Tirana,2024,5,0.701861504095309,0.566626650660264,0.006259612074916487,0.23748870591577265
Albania,Tirana,2024,6,0.7676371308016878,0.44659863945578226,0.005939118459348555,0.23666318345372395
Albania,Tirana,2024,7,0.8156700130947184,0.3571428571428571,0.005243736714284506,0.235787030623354
Albania,Tirana,2024,8,0.8200081665986116,0.30743910467412766,0.004674858188453077,0.23552166213728984
Albania,Tirana,2024,9,0.7255274261603375,0.4721088435374149,0.007167381690595803,0.23638792931444955
Albania,Tirana,2024,10,0.6536137198856676,0.5592495062541145,0.01290051153772078,0.23796301341664242
Albania,Tirana,2024,11,0.5516877637130801,0.5829931972789115,0.012332923568031366,0.23744134759759755
Albania,Tirana,2024,12,0.5258472846059616,0.6181698485845951,0.010918575695678268,0.2370230613678194
Albania,Tirana,2025,1,0.5471621069824418,0.5813034891375904,0.010796553526298784,0.23742643853530948
Albania,Tirana,2025,2,0.5345388788426763,0.5145772594752186,0.013798510186833857,0.23773159320034318
Albania,Tirana,2025,3,0.5806043282972643,0.5062541145490453,0.013211113423414009,0.23828616923374987
Albania,Tirana,2025,4,0.6101687763713081,0.488095238095238,0.010544744140397489,0.23741163038038035
Albania,Tirana,2025,5,0.6514495712535728,0.499670836076366,0.009498681361080648,0.23695873292647482
Albania,Tirana,2025,6,0.7483966244725739,0.3710884353741496,0.013330177479596413,0.2381381381381381
Albania,Tirana,2025,7,0.7615353205389955,0.35286372613561545,0.01220535493640736,0.23797360868933448
Albania,Tirana,2025,8,0.7344630461412822,0.43186306780776823,0.01254923559556772,0.23762699191126607
Albania,Tirana,2025,9,0.6730801687763713,0.5945578231292517,0.011844881527433208,0.23763262840543245
Albania,Tirana,2025,10,0.5692527562270314,0.7073732718894009,0.005767161473725599,0.23589413301706236
Albania,Tirana,2025,11,0.5344725738396625,0.8088435374149658,0.005575616981797663,0.23587776966155344
Albania,Tirana,2025,12,0.4443854634544712,0.8209348255431204,0.00751604596524153,0.23624349065717853
Albania,Tirana,2026,1,0.4608860759493671,0.7625850340136053,0.004534680932447381,0.23563047845142437
Albania,Tirana,2026,2,0.47341772151898737,0.8078231292517005,0.005616923967882992,0.2358016800584368
Algeria,Algiers,2024,5,0.7078183172002979,0.44597839135654255,0.0052755338770013056,0.23665843407
Algeria,Algiers,2024,6,0.730253164556962,0.45646258503401355,0.004016278257076506,0.23616099207315422
Algeria,Algiers,2024,7,0.7607142857142858,0.5287900874635568,0.008287125568398881,0.23809161478080393
Algeria,Algiers,2024,8,0.7757452021233155,0.5075707702435812,0.008784237062232225,0.2382551606750604
Algeria,Algiers,2024,9,0.7370886075949367,0.4962585034013605,0.011840957363755102,0.23878741494873248
Algeria,Algiers,2024,10,0.678072682727644,0.6135615536537196,0.014627310116515281,0.23998141286447733
Algeria,Algiers,2024,11,0.6233333333333333,0.6561224489795917,0.02201889546771487,0.24332066441441438
Algeria,Algiers,2024,12,0.5639036341363821,0.607965766951942,0.01348104125264741,0.2384685592850915
Algeria,Algiers,2025,1,0.567333605553287,0.6227781435154707,0.01100362145009427,0.23808939988375472
Algeria,Algiers,2025,2,0.5724683544303798,0.6508746355685131,0.014776932538492504,0.23845217985842984
Algeria,Algiers,2025,3,0.6002041649652919,0.6017116524028966,0.018003256802680976,0.24211106267557878
Algeria,Algiers,2025,4,0.6265822784810127,0.5829931972789115,0.014923491200372754,0.23995323448448447
Algeria,Algiers,2025,5,0.6591670069416088,0.5947992100065833,0.013540203516588977,0.2397619393587135
Algeria,Algiers,2025,6,0.7380168776371309,0.5418367346938775,0.0182897007639314,0.24116460210210205
Algeria,Algiers,2025,7,0.7486320947325439,0.5490454246214614,0.013577179931552457,0.23989589387774868
Algeria,Algiers,2025,8,0.7280114332380563,0.54312047399605,0.016379992185784217,0.24025991717523973
Algeria,Algiers,2025,9,0.6840928270042194,0.6863945578231292,0.015121248396256263,0.24019128926223518
Algeria,Algiers,2025,10,0.6180890159248673,0.7300855826201448,0.007064334085147129,0.23678511772452485
Algeria,Algiers,2025,11,0.5374683544303797,0.7554421768707482,0.005086129196686519,0.23614831047263476
Algeria,Algiers,2025,12,0.4988158432013067,0.8426596445029624,0.007518044690374691,0.23688125243813996
Algeria,Algiers,2026,1,0.5058649789029536,0.8047619047619047,0.004557399774794312,0.23600881286692094
Algeria,Algiers,2026,2,0.5379746835443039,0.6921768707482993,0.0031694850423272685,0.23544448164380594
Andorra,Andorra La Vella,2024,5,0.5344750558451229,0.6008403361344538,0.0004717743775486713,0.23452867115923554
Andorra,Andorra La Vella,2024,6,0.5982278481012658,0.5224489795918367,0.0011330506283205653,0.23500654370586802
Andorra,Andorra La Vella,2024,7,0.6811436054124836,0.36171710063335677,0.0019021439778644693,0.23533574056348983
Andorra,Andorra La Vella,2024,8,0.6736218864842793,0.40980908492429224,0.0021664581463359408,0.23504835207919336
Andorra,Andorra La Vella,2024,9,0.5617721518987342,0.5411564625850339,0.0021312339470725325,0.23507616569271972
Andorra,Andorra La Vella,2024,10,0.5239689669252756,0.6632653061224488,0.0030610875159388334,0.23585985178727112
Andorra,Andorra La Vella,2024,11,0.4549789029535865,0.7411564625850339,0.004247907181549987,0.2364239239239239
Andorra,Andorra La Vella,2024,12,0.41474071049407923,0.6876234364713627,0.0017669129922170445,0.2351681318415189
Andorra,Andorra La Vella,2025,1,0.40298080849326257,0.6579986833443054,0.0015006828044799906,0.234927467790371
Andorra,Andorra La Vella,2025,2,0.4294755877034358,0.6694606413994169,0.0025773567730415976,0.2353234931359931
Andorra,Andorra La Vella,2025,3,0.3921600653327889,0.8215931533903883,0.003892417260574515,0.2357676729148503
Andorra,Andorra La Vella,2025,4,0.4684810126582279,0.6295918367346938,0.0038399800404643235,0.23552879315125932
Andorra,Andorra La Vella,2025,5,0.5169456921192324,0.5394996708360763,0.004123190064449291,0.23591426403517726
Andorra,Andorra La Vella,2025,6,0.6442194092827004,0.4187074829931972,0.006355513532581711,0.2373395566174282
Andorra,Andorra La Vella,2025,7,0.6187015108207431,0.49407504937458846,0.004000288456011218,0.23565097355419934
Andorra,Andorra La Vella,2025,8,0.6404246631278072,0.4384463462804476,0.0068031007102429784,0.23707755134166422
Andorra,Andorra La Vella,2025,9,0.5526582278481013,0.6207482993197277,0.002905739936172445,0.2354051052741931
Andorra,Andorra La Vella,2025,10,0.49563086974275217,0.6306780776826859,0.0016118119218837457,0.2348436055933876
Andorra,Andorra La Vella,2025,11,0.3725738396624473,0.7877551020408162,0.0013148013670960113,0.23483407393880365
Andorra,Andorra La Vella,2025,12,0.34091465904450796,0.8048057932850559,0.0017577188566045032,0.23496919434691882
Andorra,Andorra La Vella,2026,1,0.30746835443037973,0.8649659863945577,0.001221860648404022,0.23476094337580822
Andorra,Andorra La Vella,2026,2,0.33881856540084393,0.9506802721088435,0.0011454427241461638,0.23474910721532338
Angola,Luanda,2024,5,0.7454206999255398,0.6914765906362544,0.027927556099382272,0.24612935172851702
Angola,Luanda,2024,6,0.7132911392405064,0.6768707482993197,0.023822978084991602,0.24584593038984928
Angola,Luanda,2024,7,0.6870362287210825,0.6632653061224488,0.059529662703389545,0.25556333068856363
Angola,Luanda,2024,8,0.6868109432421396,0.6718235681369321,0.05456903368755273,0.2536408056923532
Angola,Luanda,2024,9,0.7057805907172996,0.6738095238095237,0.02442110324350716,0.2426199003057111
Angola,Luanda,2024,10,0.7095140873826051,0.7304147465437787,0.016964219542207195,0.2399829264748619
Angola,Luanda,2024,11,0.7227426160337553,0.7561224489795918,0.014705700116237858,0.23894050300300299
Angola,Luanda,2024,12,0.7285830951408738,0.7649769585253455,0.011713568617393082,0.23742189770415573
Angola,Luanda,2025,1,0.7491220906492446,0.6652402896642527,0.015263304453887131,0.238414826116439
Angola,Luanda,2025,2,0.7476491862567812,0.6913265306122448,0.01432661262768727,0.23824186910124406
Angola,Luanda,2025,3,0.751245406288281,0.6879526003949966,0.013543901158085327,0.23798950159837254
Angola,Luanda,2025,4,0.73957805907173,0.7340136054421768,0.013429520781131628,0.23783861986986984
Angola,Luanda,2025,5,0.7298897509187424,0.7630019749835417,0.018121581330564112,0.2391966058800736
Angola,Luanda,2025,6,0.6962447257383967,0.7476190476190475,0.02204564174120512,0.24048032407407405
Angola,Luanda,2025,7,0.6594120048999592,0.7429229756418695,0.02447782706278627,0.24095163712099193
Angola,Luanda,2025,8,0.6432829726418947,0.7896642527978933,0.028282700162528332,0.24142766758694176
Angola,Luanda,2025,9,0.6645147679324894,0.7911564625850339,0.021287452011608914,0.2396465933839244
Angola,Luanda,2025,10,0.6887709269089425,0.7929558920342329,0.009616706080193809,0.23696020562847064
Angola,Luanda,2025,11,0.7081012658227849,0.7782312925170066,0.008037513352483252,0.23662217961204446
Angola,Luanda,2025,12,0.7035116374030217,0.8001974983541803,0.007999737447466508,0.23648771373814964
Angola,Luanda,2026,1,0.7065400843881856,0.792517006802721,0.007002773351045769,0.23631613031950865
Angola,Luanda,2026,2,0.7016877637130802,0.8010204081632653,0.007248549918253474,0.2362624448773097
Antigua And Barbuda,Saint John'S,2024,5,0.7495160089352196,0.7226890756302521,0.0007888662413213414,0.23508740755859195
Antigua And Barbuda,Saint John'S,2024,6,0.756045395024007,0.7178043631245601,0.000959917381469817,0.23516956786702825
Antigua And Barbuda,Saint John'S,2024,7,0.7401898734177215,0.7638483965014576,0.0014072995109370866,0.2354891691884935
Antigua And Barbuda,Saint John'S,2024,8,0.741445487954267,0.759381171823568,0.0010431746214994227,0.2352070766276302
Antigua And Barbuda,Saint John'S,2024,9,0.7279746835443037,0.8108843537414965,0.006883045051877443,0.2371926952290128
Antigua And Barbuda,Saint John'S,2024,10,0.7281339322172315,0.7653061224489796,0.011230696612472701,0.2392664446813858
Antigua And Barbuda,Saint John'S,2024,11,0.7112614578786556,0.834975369458128,0.00822865074775188,0.23717609005790502
Antigua And Barbuda,Saint John'S,2024,12,0.701347488770927,0.7630019749835417,0.009907380676309422,0.23748821838403353
Antigua And Barbuda,Saint John'S,2025,1,0.6865400843881857,0.8040816326530611,0.007442796020319733,0.23687318653112568
Antigua And Barbuda,Saint John'S,2025,2,0.6895117540687161,0.7536443148688046,0.010187519849482062,0.23780291814497895
Antigua And Barbuda,Saint John'S,2025,3,0.6874234381380155,0.7830809743252138,0.008076868250355192,0.23720302555170686
Antigua And Barbuda,Saint John'S,2025,4,0.6929957805907173,0.7904761904761904,0.007027351007766539,0.23671604459188916
Antigua And Barbuda,Saint John'S,2025,5,0.7079624336463863,0.8183015141540486,0.006690352625481363,0.23704751640262753
Antigua And Barbuda,Saint John'S,2025,6,0.7164556962025317,0.7629251700680271,0.012689237630003411,0.24058116816140462
Antigua And Barbuda,Saint John'S,2025,7,0.716700694160882,0.7906517445687952,0.011342825092443037,0.24089890211702544
Antigua And Barbuda,Saint John'S,2025,8,0.7268681094324213,0.7886767610269914,0.008613086229079643,0.2388949556029438
Antigua And Barbuda,Saint John'S,2025,9,0.719240506329114,0.81156462585034,0.006490422149136394,0.237343458323188
Antigua And Barbuda,Saint John'S,2025,10,0.7154348713760719,0.8275181040157997,0.004128786494822143,0.23591143317467422
Antigua And Barbuda,Saint John'S,2025,11,0.7066666666666667,0.798299319727891,0.004015658652285227,0.2357584358006655
Antigua And Barbuda,Saint John'S,2025,12,0.6941608819926501,0.7560895325872283,0.004794361964164777,0.23592370569130594
Antigua And Barbuda,Saint John'S,2026,1,0.6867932489451476,0.7918367346938774,0.00404250819324069,0.2356920687579471
Antigua And Barbuda,Saint John'S,2026,2,0.6824894514767933,0.8061224489795918,0.0055089061992698585,0.2361050662148635
Argentina,Buenos Aires,2024,5,0.5194341027550261,0.7515006002400959,0.003238127533910241,0.23551186818774258
Argentina,Buenos Aires,2024,6,0.5487341772151899,0.7901360544217686,0.004470655104015122,0.2356427373319265
Argentina,Buenos Aires,2024,7,0.463245931283906,0.7787900874635568,0.007917575567885493,0.23655759403225615
Argentina,Buenos Aires,2024,8,0.5008166598611679,0.8452929558920341,0.0031498309118511846,0.2353453469816809
Argentina,Buenos Aires,2024,9,0.5339662447257384,0.8170068027210884,0.009338683414171104,0.23721413558829096
Argentina,Buenos Aires,2024,10,0.5643119640669662,0.8406846609611586,0.007538931368016225,0.23668325583648162
Argentina,Buenos Aires,2024,11,0.6013924050632912,0.8357142857142856,0.006548086701711514,0.23611736736736735
Argentina,Buenos Aires,2024,12,0.603021641486321,0.7409479921000657,0.006669985616374451,0.23604148503342048
Argentina,Buenos Aires,2025,1,0.6521097046413502,0.7687074829931971,0.00684611660631716,0.2360336899399399
Argentina,Buenos Aires,2025,2,0.6502260397830018,0.814868804664723,0.007731472843076057,0.23622255067567566
Argentina,Buenos Aires,2025,3,0.6120457329522254,0.8834759710335747,0.008367203063198169,0.2362276591107236
Argentina,Buenos Aires,2025,4,0.5505485232067511,0.8721088435374149,0.011175192015524816,0.23680790165165164
Argentina,Buenos Aires,2025,5,0.5455287872601062,0.8940092165898617,0.009576331832503955,0.23641231957764214
Argentina,Buenos Aires,2025,6,0.4769620253164557,0.8085034013605442,0.011205759185227959,0.23677427427427425
Argentina,Buenos Aires,2025,7,0.4909759085340955,0.8584595128373929,0.012460492199655372,0.2370366838612806
Argentina,Buenos Aires,2025,8,0.507309105757452,0.8436471362738643,0.008034415328526853,0.23612851763053375
Argentina,Buenos Aires,2025,9,0.5176371308016878,0.8724489795918366,0.008521631229403304,0.23621167620323022
Argentina,Buenos Aires,2025,10,0.5669661086157616,0.8001974983541803,0.0038204031940267218,0.2352146446795531
Argentina,Buenos Aires,2025,11,0.5774261603375527,0.8353741496598638,0.005577682331101929,0.23560342437031626
Argentina,Buenos Aires,2025,12,0.6305430788076766,0.780776826859776,0.004839753011938865,0.2354756401999209
