country,temperature_celsius,precip_mm,wind_kph,humidity
Saudi Arabien,45.0,0.0,24.5,7.0
Marrocos,40.3,0.0,16.9,14.0
Turkménistan,37.8,0.0,22.0,11.0
Турция,34.0,0.0,24.1,44.0
Qatar,32.84375987361769,0.0004897314375987362,18.52875197472354,40.12638230647709
United Arab Emirates,32.83801261829653,0.0002681388012618297,15.687066246056784,42.93375394321767
Kuwait,31.839589905362775,0.004858044164037855,17.217665615141957,26.413249211356465
Djibouti,31.832594936708862,0.025569620253164557,16.84604430379747,54.14715189873418
Oman,31.63059936908517,0.0011041009463722397,15.010410094637225,52.11356466876972
Saudi Arabia,31.500316455696204,0.001677215189873418,15.292088607594938,17.14873417721519
