last_updated,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
2024-05-31,19.330078835657975,21.252653123104913,1716476012.7653122,25.153214069132808,77.27550030321407,8.897634930260764,14.322680412371133,170.23438447543967,1013.0724681625228,29.91520012128563,0.16040327471194663,0.006130988477865373,59.80503335354761,37.03820497271074,27.065858095815646,80.71033959975743,9.83123104912068,5.819284414796846,5.08429351121892,13.844511825348695,22.28556701030928,527.5852634930261,60.69842328684051,10.185324439053971,6.788720436628259,17.821770770163734,33.466252274105514,1.391146149181322,1.8508186779866587,78.78077622801698
2024-06-30,19.169584983640434,21.786945066299293,1718494071.0521784,26.456035818839332,79.62250731875324,9.127415188565525,14.694196659204408,178.42104356810745,1011.9610814534183,29.882314448079903,0.15684863096263132,0.006003099707249871,58.7880144653005,37.46650594110556,28.225899776132252,82.79977613225418,9.860444291372481,5.852936111589461,5.494747718271052,13.803358016187362,22.21732391940761,501.1493707594283,63.57935250559669,9.038798002410884,6.582004477354916,16.837368692956776,30.64417082831066,1.3580161873600827,1.7883588772171517,49.53607714826933
2024-07-31,19.090607418025442,22.19584303888192,1721096303.1893926,26.800447948396343,80.24264468733202,8.684088872961835,13.979537717254972,183.50241892134025,1011.5212327539867,29.869713313026338,0.163338111449561,0.006226482709191901,59.40619960580541,39.18294212506719,28.421214836050886,83.15174699874575,9.705034939974915,5.761691453144598,5.745206952159111,12.959075434509945,20.85739114853969,446.38969682852536,65.60184554739294,8.044042286328615,4.098208206414621,15.947016663680344,28.087224511736245,1.3180433614047662,1.71295466762229,43.57086543630174
2024-08-31,19.107315136476426,22.088583953680725,1723807546.3027296,26.789677419354838,80.22309346567411,8.64354011579818,13.91564929693962,180.5940446650124,1011.9930521091811,29.883611248966087,0.16675599669148056,0.006372208436724566,59.690984284532675,38.76625310173697,28.323126550868484,82.97477253928867,9.667692307692308,5.742762613730355,5.750868486352357,12.67874276261373,20.407427626137302,438.9530686517783,67.02367245657568,8.0063523573201,5.857237386269644,14.332291149710503,24.084119106699752,1.3108354011579817,1.7204301075268817,45.56112489660877
2024-09-30,19.064397199453552,22.14751024590164,1726440588.4733605,25.12440232240437,77.22641734972677,8.222506830601093,13.23598019125683,169.8147199453552,1013.0141734972677,29.91346482240437,0.16712090163934426,0.006369535519125683,63.31813524590164,39.23497267759563,26.630891393442624,79.930037568306,9.83712431693989,5.831796448087432,5.293545081967213,11.788780737704919,18.974658469945357,407.73213114754094,70.94764344262296,10.442419740437158,9.618836919398907,20.946277663934428,44.547415983606555,1.6188524590163935,2.3536543715846996,46.06352459016394
2024-10-31,19.143867375415283,22.503691794019932,1729068206.2624586,22.335382059800665,72.20408637873754,7.6021262458471766,12.237375415282392,168.5546511627907,1014.646511627907,29.962058139534882,0.1257591362126246,0.0047475083056478405,66.67890365448505,41.13970099667774,23.341345514950167,74.00765780730896,9.693471760797342,5.753156146179402,3.434767441860465,10.276046511627907,16.53923588039867,485.79475315614616,55.824418604651164,17.562171760797344,12.398280897009966,24.815379900332225,49.07991744186047,1.7717607973421927,2.7056478405315616,44.74501661129568
2024-11-30,19.152160030943786,22.633794928657384,1731711774.52295,19.424565927454015,66.96649475674747,7.545710847515902,12.148272305312016,159.12858861956335,1015.5116039195461,29.98776689014956,0.1357555440948943,0.00517276946879835,67.93037648272305,42.08956506790442,19.875004297747978,67.76821385593949,9.447773766546328,5.58311844593433,2.4931923671995873,10.5543751074437,16.98672855423758,646.180668041946,53.08440777032835,21.80923929860753,14.7616982980918,31.344268179473957,56.53380539797146,1.966477565755544,3.294997421351212,47.26250644662197
2024-12-31,19.107268717948717,22.08899076923077,1734345304.764268,17.751894127377998,63.9537799834574,8.116889991728701,13.06569065343259,163.33333333333334,1016.0782464846981,30.004304383788252,0.11105045492142265,0.004183622828784119,65.7808105872622,42.8044665012407,17.755318444995865,63.954408602150544,9.35991728701406,5.536641852770885,2.4852770885028947,11.415599669148056,18.372787427626136,597.8526403639372,63.8974358974359,19.58369975186104,16.985613564929693,33.917588089330025,75.42154094292805,2.0097601323407774,3.45343258891646,46.49214226633581
2025-01-31,19.180727472527472,22.67554523809524,1737027689.4605396,17.392723942723944,63.30915750915751,8.078021978021978,13.004828504828504,164.43706293706293,1015.9918414918415,30.00155844155844,0.12536796536796538,0.004746919746919747,67.12903762903763,41.51998001998002,17.43774558774559,63.38228438228438,9.249200799200798,5.441724941724941,2.624025974025974,11.395737595737597,18.34082584082584,618.5853827838828,64.42607392607393,21.29057559107559,17.943424242424243,35.58435631035631,74.72255594405594,2.0764235764235766,3.662171162171162,47.95837495837496
2025-02-28,19.115329649990837,22.08589083745648,1739571018.8015394,17.42468389224849,63.366941542972334,8.28301264431006,13.333773135422392,160.08374564779183,1017.1451346893898,30.035684442001102,0.11010995052226498,0.004143302180685358,66.10408649441085,41.99010445299615,17.482023089609676,63.46298332417079,9.33089609675646,5.486347810152099,2.9730254718709914,11.45378413047462,18.43445116364303,574.1175330767821,68.17225581821513,19.29453527579256,15.2913738317757,35.02108979292652,77.34835239142386,2.0864944108484513,3.625251969946857,54.379695803555066
