country,temperature_celsius,precip_mm,wind_kph,humidity
Afghanistan,19.502208201892746,0.03643533123028391,8.746372239747634,25.36277602523659
Albania,20.35078864353312,0.1426813880126183,8.944952681388013,55.429022082018925
Algeria,21.34865718799368,0.046445497630331754,13.104265402843602,62.29699842022117
Andorra,9.902523659305993,0.1251577287066246,8.285646687697161,62.801261829652994
Angola,26.12570977917981,0.027744479495268138,9.380599369085173,74.13880126182966
Antigua and Barbuda,26.526349206349202,0.11711111111111111,24.21047619047619,78.80952380952381
Argentina,14.605379746835444,0.09231012658227848,10.398417721518987,82.24050632911393
Armenia,17.772082018927446,0.041151419558359624,7.271293375394322,42.75867507886435
Australia,14.507255520504732,0.1053154574132492,12.130599369085173,65.86908517350157
Austria,13.3913112164297,0.07701421800947868,12.968562401263824,67.27962085308057
Azerbaijan,19.4998420221169,0.03052132701421801,23.32575039494471,60.186413902053715
Bahamas,24.847292993630575,0.07105095541401274,20.871974522292994,80.58917197452229
Bahrain,30.542744479495266,0.0017665615141955835,19.147160883280755,48.58990536277602
Bangladesh,30.753164556962027,0.30012658227848105,13.714873417721519,48.254746835443036
Barbados,27.20206022187005,0.15150554675118857,24.129160063391442,79.88431061806656
Belarus,10.333280757097793,0.08712933753943218,16.795425867507884,72.07097791798107
Belgium,12.911248966087676,0.08958643507030604,16.827626137303554,76.22167080231597
Belize,22.335930047694752,0.13685214626391096,4.440222575516693,95.7933227344992
Benin,28.382148499210114,0.10181674565560822,11.8521327014218,79.15165876777252
Bhutan,13.510443037974683,0.29966772151898735,8.06851265822785,61.99208860759494
Bolivia,17.194201747418585,0.10876092136616362,5.126687847498014,76.38522637013503
Bosnia and Herzegovina,13.8397476340694,0.16182965299684543,7.089589905362776,69.34384858044164
Botswana,23.574605678233436,0.04583596214511041,13.482649842271293,46.75709779179811
Brazil,24.343174603174603,0.18042857142857144,4.444126984126984,81.88253968253969
Brunei Darussalam,29.224486571879936,0.5202685624012638,9.051974723538704,77.63981042654028
Bulgaria,15.589470061940812,0.10507914659325533,10.251066758430833,58.684101858224366
Burkina Faso,28.108688783570297,0.05590837282780411,15.594944707740916,52.813586097946285
Burundi,26.184651898734177,0.1919778481012658,7.454588607594937,59.81803797468354
Bélgica,17.4,0.12,22.0,63.0
Cambodia,31.225434439178517,0.15731437598736175,13.823538704581358,64.60347551342812
Cameroon,25.490822784810128,0.24634493670886076,7.329272151898735,67.69303797468355
Canada,5.549920760697306,0.15103011093502378,11.086212361331219,83.99366085578447
Cape Verde,24.372397476340694,0.013943217665615142,20.168769716088327,71.84227129337539
Central African Republic,28.415007898894157,0.12541864139020537,6.310584518167456,68.1263823064771
Chad,29.78375394321767,0.046687697160883286,16.675867507886434,41.905362776025235
Chile,10.765293185419967,0.057527733755942945,4.3979397781299525,76.67353407290015
China,17.989889415481834,0.06766192733017377,10.273933649289098,43.191153238546605
Colombia,13.5,0.02,4.7,80.0
Comoros,26.212183544303794,0.269873417721519,16.97357594936709,73.63291139240506
Congo,26.859873617693523,0.1401421800947867,6.977567140600316,72.2954186413902
Costa Rica,19.82232854864434,0.11591706539074961,7.0437001594896325,84.08931419457736
Cote d'Ivoire,22.78728323699422,0.029364161849710982,4.769364161849711,91.26589595375722
Croatia,14.917721518987342,0.10254746835443038,7.470727848101266,68.36550632911393
Cuba,22.807301587301588,0.034126984126984124,14.97206349206349,92.07777777777778
Cyprus,25.313744075829383,0.029368088467614534,12.710900473933648,48.791469194312796
Czech Republic,11.658478605388273,0.07809825673534074,12.249286846275753,71.12044374009508
Democratic Republic of Congo,26.795087163232964,0.13589540412044374,6.918225039619651,72.53407290015848
Denmark,11.581832543443918,0.0942654028436019,20.04739336492891,76.08056872037915
Djibouti,31.832594936708862,0.025569620253164557,16.84604430379747,54.14715189873418
Dominica,26.72916006339144,0.13458003169572108,16.666402535657685,78.05705229793978
Dominican Republic,24.082063492063494,0.13553968253968254,9.435555555555554,94.48253968253968
Ecuador,10.426073131955485,0.07794912559618442,4.816852146263911,82.8362480127186
Egypt,26.279462875197474,0.0005213270142180095,14.746603475513428,42.363349131121645
El Salvador,23.73492822966507,0.24681020733652312,4.877033492822966,87.99840510366826
Equatorial Guinea,27.19511041009464,0.35698738170347005,7.861514195583596,85.97476340694006
Eritrea,21.45299684542587,0.11436908517350158,10.886593059936908,44.58201892744479
Estonia,9.791469194312796,0.09816745655608215,18.137282780410743,73.84992101105846
Estonie,23.3,0.0,16.9,61.0
Ethiopia,19.864817749603805,0.25353407290015845,10.540729001584786,51.90649762282092
Fiji Islands,24.483753943217668,0.32645110410094635,11.657255520504732,90.15772870662461
Finland,9.490694006309148,0.08277602523659307,17.267665615141958,74.48895899053628
France,13.747867298578198,0.10273301737756714,12.567614533965244,75.42496050552923
Gabon,27.004581358609798,0.19808846761453397,9.91484992101106,82.65718799368088
Gambia,25.302056962025315,0.14357594936708862,16.403322784810126,69.6503164556962
Georgia,17.974367088607593,0.04087025316455697,10.896835443037975,53.79272151898734
Germany,12.553470031545741,0.06626182965299685,14.492902208201892,70.21924290220821
Ghana,27.412776025236596,0.07255520504731862,14.02744479495268,81.13249211356467
Greece,22.711428571428574,0.045158730158730155,15.066031746031747,48.614285714285714
Grenada,27.192063492063493,0.16258730158730159,20.32047619047619,82.83174603174604
Guatemala,17.151674641148325,0.085311004784689,6.247846889952153,90.87400318979266
Guinea,26.341074249605057,0.4241864139020537,11.176777251184834,84.0695102685624
Guinea-Bissau,25.652523659305995,0.3044794952681388,12.229179810725553,73.9794952681388
Guyana,24.65229793977813,0.4635499207606973,8.96877971473851,94.6418383518225
Haiti,21.574920634920637,0.02361904761904762,7.276825396825396,86.67936507936508
Honduras,19.096969696969694,0.07695374800637958,6.252472089314195,88.30781499202551
Hungary,14.46906584992343,0.0552833078101072,11.054517611026034,63.73506891271057
Iceland,6.0432859399684045,0.17380726698262242,24.50521327014218,80.34439178515008
Inde,31.2,0.0,6.8,71.0
India,29.876582278481013,0.0645253164556962,10.38370253164557,45.84493670886076
Indonesia,28.088100866824274,0.4874152876280536,10.808195429472025,74.88416075650119
Iran,19.922453889334403,0.02846832397754611,12.539214113873296,28.510024057738573
Iraq,29.644794952681387,0.007981072555205047,17.93359621451104,29.490536277602523
Ireland,11.369145569620253,0.14346518987341772,16.296677215189874,80.72943037974683
Israel,24.499052132701422,0.014644549763033175,14.60821484992101,48.75355450236967
Italy,19.487993680884674,0.07789889415481834,10.458609794628753,65.02211690363349
Jamaica,26.954761904761906,0.16663492063492064,7.22031746031746,78.07936507936508
Japan,19.906782334384857,0.13517350157728708,17.461514195583597,61.72082018927445
Jemen,26.1,0.2,14.8,34.0
Jordan,22.52082018927445,0.017917981072555204,17.329337539432174,39.958990536277604
Kazakhstan,9.016429699842021,0.0684518167456556,18.099526066350712,60.85781990521327
Kenya,21.976220472440943,0.1087244094488189,12.936062992125983,56.960629921259844
Kiribati,27.885126582278485,0.06572784810126582,20.702848101265825,75.24050632911393
Komoren,25.2,0.0,24.8,71.0
Kosovo,29.3,0.27,9.4,42.0
Kuwait,31.839589905362775,0.004858044164037855,17.217665615141957,26.413249211356465
Kyrghyzstan,17.349763033175353,0.10131121642969984,10.0826224328594,43.97788309636651
Lao People's Democratic Republic,25.0,1.97,9.0,95.0
Latvia,10.544620253164556,0.09333860759493671,14.363924050632912,74.3386075949367
Lebanon,23.984335443037974,0.04977848101265823,13.97136075949367,59.31012658227848
Lesotho,19.662085308056874,0.05358609794628752,13.41690363349131,42.636650868878355
Letonia,20.6,1.83,13.3,94.0
Liberia,26.121327014218007,0.36219589257503954,9.526698262243285,87.45497630331754
Libya,27.0,0.0,31.7,74.0
Liechtenstein,10.934177215189873,0.18216772151898733,7.338132911392405,80.77215189873418
Lithuania,10.143443917851501,0.13036334913112163,14.746603475513428,73.36808846761454
Luxembourg,11.227056962025317,0.09485759493670887,13.80759493670886,78.92088607594937
Macedonia,17.632857142857144,0.059587301587301585,6.830634920634921,58.804761904761904
Madagascar,25.970970695970696,0.06491758241758241,11.803663003663004,46.633699633699635
Malawi,24.51955835962145,0.10378548895899053,12.295425867507888,52.526813880126184
Malaysia,30.116876971608832,0.585615141955836,6.441640378548896,70.58044164037855
Maldives,27.89508716323296,0.23378763866877972,19.937876386687797,75.18066561014263
Mali,26.688801261829653,0.07867507886435332,10.876182965299684,57.57570977917981
Malta,22.66640378548896,0.04567823343848581,19.606624605678235,66.80599369085174
Malásia,24.3,1.55,6.5,93.0
Marrocos,40.3,0.0,16.9,14.0
Marshall Islands,28.158990536277603,0.2901577287066246,22.778391167192428,81.22239747634069
Mauritania,23.91435331230284,0.007539432176656152,20.39258675078864,55.71293375394322
Mauritius,26.59668769716088,0.09600946372239748,19.61466876971609,68.04258675078864
Mexico,14.313195548489666,0.04333863275039746,5.708267090620032,70.55643879173292
Mexique,27.4,0.0,15.1,72.0
Micronesia,28.01864139020537,0.35731437598736177,20.742338072669824,83.70300157977883
Monaco,18.35886075949367,0.10457278481012659,10.06629746835443,63.80379746835443
Mongolia,4.154113924050633,0.04153481012658228,7.743512658227847,52.17088607594937
Montenegro,19.418799368088468,0.21066350710900472,7.318641390205371,58.115323854660346
Morocco,19.528006329113925,0.05789556962025317,13.20775316455696,78.08227848101266
Mozambique,25.850157728706623,0.05561514195583596,14.095110410094636,61.90378548895899
Myanmar,30.448422712933752,0.4553470031545741,11.200630914826498,72.09779179810725
Namibia,23.14091627172196,0.02363349131121643,17.23143759873618,33.38546603475513
Nepal,22.9125,0.4908386075949367,6.978639240506329,59.337025316455694
Netherlands,12.885781990521327,0.10409162717219589,16.57740916271722,76.65560821484992
New Zealand,13.738170347003155,0.15788643533123028,24.80205047318612,78.67981072555204
Nicaragua,24.042834394904457,0.13132165605095542,10.104140127388535,85.94108280254777
Niger,29.29636650868878,0.026145339652448658,18.25086887835703,42.08372827804107
Nigeria,27.516561514195583,0.12241324921135646,7.252365930599369,67.48895899053628
North Korea,13.787361769352291,0.09630331753554502,11.867930489731437,61.943127962085306
Norway,8.474208860759493,0.10049050632911392,12.107120253164556,75.83544303797468
Oman,31.63059936908517,0.0011041009463722397,15.010410094637225,52.11356466876972
Pakistan,28.36429699842022,0.09469194312796209,9.716271721958925,32.00473933649289
Palau,28.179146919431282,0.42987361769352295,16.49178515007899,82.25118483412322
Panama,25.47,0.19473015873015873,7.682380952380952,90.49365079365079
Papua New Guinea,26.757345971563982,0.502085308056872,14.543443917851501,83.5039494470774
Paraguay,20.84265402843602,0.0940916271721959,9.373301737756714,65.41232227488152
Peru,17.508744038155804,0.0038155802861685214,8.659459459459459,84.14308426073131
Philippines,29.89004739336493,0.39614533965244864,13.499368088467616,73.67614533965245
Poland,12.336593059936908,0.061246056782334385,13.940220820189275,68.75867507886436
Polônia,27.7,0.0,29.5,52.0
Portugal,17.531803797468356,0.10974683544303797,14.90886075949367,76.24208860759494
Qatar,32.84375987361769,0.0004897314375987362,18.52875197472354,40.12638230647709
Romania,16.472511848341234,0.040063191153238545,11.93696682464455,59.91153238546603
Russia,9.597744360902256,0.08502255639097744,13.989774436090226,69.19248120300752
Rwanda,24.175039494470774,0.18311216429699842,6.76255924170616,57.624012638230646
Saint Kitts and Nevis,26.817749603803488,0.1420443740095087,25.14405705229794,79.5229793977813
Saint Lucia,27.14129746835443,0.15460443037974683,20.24620253164557,80.73101265822785
